symbol,date,side,entry_price,stop_price,shares,or_high,or_low,target_r1,target_r2,pnl,exit_reason,logged_at
TSLA,2025-09-15,SHORT,414.7799987792969,416.259031023298,169,425.69989013671875,414.7799987792969,413.30096653529574,411.8219342912946,-249.95644923619136,STOP,2025-11-18T10:32:56.750547
AMD,2025-09-10,SHORT,159.5800018310547,159.99108014787947,608,164.52499389648438,159.5800018310547,159.1689235142299,158.75784519740512,-249.93561662946922,STOP,2025-11-18T10:32:57.480270
AMD,2025-10-06,SHORT,213.25999450683594,214.31876591273718,236,226.55999755859375,213.25999450683594,212.2012231009347,211.14245169503346,374.8050776890389,TARGET,2025-11-18T10:32:57.481592
AMD,2025-10-07,SHORT,214.8000030517578,215.46210479736328,377,218.89999389648438,214.8000030517578,214.13790130615234,213.47579956054688,0.0,STOP,2025-11-18T10:32:57.482683
AMD,2025-11-12,SHORT,250.5,251.5235639299665,244,258.6700134277344,250.5,249.4764360700335,248.45287214006697,-249.74959891182937,STOP,2025-11-18T10:32:57.483972
COIN,2025-11-10,SHORT,317.0101013183594,318.25614493233815,200,324.79998779296875,317.0101013183594,315.7640577043806,314.51801409040183,0.0,STOP,2025-11-18T10:32:58.252841
RIOT,2025-09-24,LONG,19.959999084472656,19.84922776903425,2256,19.959999084472656,17.780099868774414,20.070770399911062,20.181541715349468,-249.90008762904347,STOP,2025-11-18T10:32:58.575451
RIOT,2025-09-26,SHORT,16.700000762939453,16.801500456673757,2463,17.959999084472656,16.700000762939453,16.59850106920515,16.497001375470845,-249.99374566759133,STOP,2025-11-18T10:32:58.576508
RIOT,2025-10-06,SHORT,20.200000762939453,20.32745783669608,1961,20.649999618530273,20.200000762939453,20.072543689182826,19.9450866154262,-249.9433216367459,STOP,2025-11-18T10:32:58.577607
RIOT,2025-10-20,LONG,21.700000762939453,21.600936480930873,2523,21.700000762939453,20.610000610351562,21.799065044948033,21.898129326956614,-249.93918350764812,STOP,2025-11-18T10:32:58.578718
RIOT,2025-11-03,LONG,21.549999237060547,21.402249063764298,1692,21.549999237060547,20.420000076293945,21.697749410356796,21.845499583653044,0.0,STOP,2025-11-18T10:32:58.579878
RIOT,2025-11-10,SHORT,17.584999084472656,17.680991853986466,2604,18.0,17.584999084472656,17.489006314958846,17.393013545445037,-249.96517181396086,STOP,2025-11-18T10:32:58.580987
MARA,2025-10-06,SHORT,19.389999389648438,19.511606897626603,2055,19.979999542236328,19.389999389648438,19.268391881670272,19.146784373692107,-249.90342889512976,STOP,2025-11-18T10:32:58.845496
MARA,2025-10-20,LONG,20.90999984741211,20.808213915143693,2456,20.90999984741211,20.110000610351562,21.011785779680526,21.113571711948943,-249.98624965123142,STOP,2025-11-18T10:32:58.846635
MARA,2025-11-10,SHORT,16.15999984741211,16.25496428353446,2632,16.6200008392334,16.15999984741211,16.06503541128976,15.97007097516741,0.0,STOP,2025-11-18T10:32:58.847859
BBAI,2025-09-16,LONG,5.639999866485596,5.594735656465803,5523,5.639999866485596,5.329999923706055,5.685264076505389,5.730528286525182,-249.9942319393172,STOP,2025-11-18T10:32:59.180200
BBAI,2025-09-23,LONG,7.610000133514404,7.525364262717111,2953,7.610000133514404,7.210000038146973,7.694636004311698,7.779271875108991,-249.92972646440742,STOP,2025-11-18T10:32:59.181275
BBAI,2025-10-13,LONG,8.350000381469727,8.242471763065883,2324,8.350000381469727,7.550000190734863,8.45752899987357,8.565057618277415,0.0,STOP,2025-11-18T10:32:59.182437
BBAI,2025-10-24,LONG,7.210000038146973,7.15785721370152,4794,7.210000038146973,7.03000020980835,7.262142862592425,7.314285687037877,-249.97270039149814,STOP,2025-11-18T10:32:59.183530
BBAI,2025-11-10,SHORT,5.784999847412109,5.827021326337542,5949,5.960000038146973,5.784999847412109,5.742978368486677,5.700956889561244,-249.98577812739933,STOP,2025-11-18T10:32:59.184674
BBAI,2025-11-11,SHORT,6.409999847412109,6.468671253749302,4261,6.78000020980835,6.409999847412109,6.351328441074917,6.292657034737724,-249.9988624027781,STOP,2025-11-18T10:32:59.185683
SOUN,2025-11-10,SHORT,14.434399604797363,14.520449570247106,2905,14.977399826049805,14.434399604797363,14.34834963934762,14.262299673897878,-249.97514963150172,STOP,2025-11-18T10:32:59.465991
PLUG,2025-09-23,LONG,3.0999999046325684,3.067642790930612,7726,3.0999999046325684,2.799999952316284,3.132357018334525,3.1647141320364813,-249.9910604613158,STOP,2025-11-18T10:32:59.804295
PLUG,2025-10-03,LONG,3.5899999141693115,3.5251785005841936,3856,3.5899999141693115,3.200000047683716,3.6548213277544295,3.7196427413395474,-249.95137078421482,STOP,2025-11-18T10:32:59.805417
PLUG,2025-10-06,SHORT,3.9100000858306885,3.981442928314209,3499,4.579999923706055,3.9100000858306885,3.838557243347168,3.7671144008636475,-249.97850584983826,STOP,2025-11-18T10:32:59.806445
PLUG,2025-10-13,LONG,3.9600000381469727,3.929535678454808,8206,3.9600000381469727,3.6600000858306885,3.9904643978391374,4.020928757531302,-249.99053563390407,STOP,2025-11-18T10:32:59.807515
PLUG,2025-10-20,SHORT,3.5299999713897705,3.5553572177886963,9859,3.6500000953674316,3.5299999713897705,3.5046427249908447,3.479285478591919,-249.99709224700928,STOP,2025-11-18T10:32:59.808597
PLUG,2025-10-23,SHORT,2.940000057220459,2.9619500807353427,11389,3.049999952316284,2.940000057220459,2.9180500337055753,2.8961000101906915,-249.98881781101082,STOP,2025-11-18T10:32:59.809649
PLUG,2025-10-24,SHORT,2.950000047683716,2.96857145854405,13461,3.059999942779541,2.950000047683716,2.9314286368233815,2.912857225963047,-249.9897615909602,STOP,2025-11-18T10:32:59.810661
PLUG,2025-10-27,SHORT,2.940000057220459,2.958035741533552,13861,3.140000104904175,2.940000057220459,2.921964372907366,2.9039286885942728,-249.9926202637835,STOP,2025-11-18T10:32:59.811679
PLUG,2025-11-10,SHORT,2.7300000190734863,2.7543714897973195,10257,2.930000066757202,2.7300000190734863,2.705628548349653,2.68125707762582,374.9794485568971,TARGET,2025-11-18T10:32:59.812803
OCGN,2025-09-18,SHORT,1.371899962425232,1.3881356631006514,15398,1.4800000190734863,1.371899962425232,1.3556642617498125,1.339428561074393,-249.9973190001089,STOP,2025-11-18T10:33:00.430423
SPCE,2025-09-24,SHORT,3.7300000190734863,3.7449786152158464,16690,4.070000171661377,3.7300000190734863,3.7150214229311262,3.700042826788766,-249.99276961598972,STOP,2025-11-18T10:33:01.303028
